Time	Color	Intensity	Cell_Count
0.0	Blue	20907.0303038852	1685
0.0	NoColor	16832.894688525	21095
0.0	Purple	38766.27545372442	1314
0.0	Red	26369.997012357282	458
0.25	Blue	9167.696243889455	670
0.25	NoColor	19215.055803055173	10719
0.25	Purple	53138.16655646	1788
0.25	Red	18542.6049469775	392
0.5	Blue	13261.375011067004	1154
0.5	NoColor	16902.919797052018	12203
0.5	Purple	44064.107540279954	1182
0.5	Red	43494.21021393602	1410
1.0	Blue	14828.418384461964	1247
1.0	NoColor	16832.680013076857	20841
1.0	Purple	34366.63925239073	1090
1.0	Red	21770.259815237983	1401
2.0	Blue	37404.0800101267	755
2.0	NoColor	19808.47262736936	25691
2.0	Purple	35014.881666632755	889
2.0	Red	37036.238592331036	1181
3.0	Blue	34605.36874169414	350
3.0	NoColor	21737.254908678413	14545
3.0	Purple	96500.1279702003	1045
3.0	Red	71193.36308587839	1497
4.0	Blue	30412.094640948504	247
4.0	NoColor	37444.333260503045	16953
4.0	Purple	94230.29253337278	1729
4.0	Red	27993.176371697064	1476
5.0	Blue	48616.869537988045	1002
5.0	NoColor	22186.787413354883	17512
5.0	Purple	102125.56242140623	1703
5.0	Red	68957.85291404599	1735
6.0	Blue	51887.75085671385	2537
6.0	NoColor	39339.40520733468	14034
6.0	Purple	135415.70321414742	2489
6.0	Red	121807.94128359434	907
